ID	CHARACTER	PINYIN	DOCULECT	PHONETIC_CLASS	KARLGREN_ID	READING	SOURCE
2177	衎	kàn	Old_Chinese	0139	0139p		Karlgren1954
2178	衎	kàn	Middle_Chinese		0139p	khanH	Wikibooks2016a
2179	扞	gǎn	Old_Chinese	0139	0139q		Karlgren1954
2180	扞	gǎn	Middle_Chinese		0139q	hanH	Wikibooks2016a
2181	旱	hàn	Old_Chinese	0139	0139s		Karlgren1954
2182	旱	hàn	Middle_Chinese		0139s	hanX	Wikibooks2016a
2183	汗	hàn	Old_Chinese	0139	0139t		Karlgren1954
2184	汗	hàn	Middle_Chinese		0139t	hanH	Wikibooks2016a
2185	虷	hán	Old_Chinese	0139	0139u		Karlgren1954
2186	虷	hán	Middle_Chinese		0139u	han	Wikibooks2016a
2187	邗	hán	Old_Chinese	0139	0139v		Karlgren1954
2188	邗	hán	Middle_Chinese		0139v	han	Wikibooks2016a
2189	釬	hàn	Old_Chinese	0139	0139y		Karlgren1954
2190	釬	hàn	Middle_Chinese		0139y	kan	Wikibooks2016a
2191	釬	hàn	Middle_Chinese		0139y	hanH	Wikibooks2016a
2192	閈	hàn	Old_Chinese	0139	0139z		Karlgren1954
2193	閈	hàn	Middle_Chinese		0139z	hanH	Wikibooks2016a
2194	馯	hàn	Old_Chinese	0139	0139b'		Karlgren1954
2195	馯	hàn	Middle_Chinese		0139b'	hanH	Wikibooks2016a
2196	犴	àn	Old_Chinese	0139	0139c'		Karlgren1954
2197	犴	àn	Middle_Chinese		0139c'	nganH	Wikibooks2016a
2198	豻	àn	Old_Chinese	0139	0139d'		Karlgren1954
2199	豻	àn	Middle_Chinese		0139d'	nganH	Wikibooks2016a
2200	岸	àn	Old_Chinese	0139	0139e'		Karlgren1954
2201	岸	àn	Middle_Chinese		0139e'	nganH	Wikibooks2016a
2202	罕	hǎn	Old_Chinese	0139	0139f'		Karlgren1954
2203	罕	hǎn	Middle_Chinese		0139f'	xanX	Wikibooks2016a
2204	軒	xuān	Old_Chinese	0139	0139g'		Karlgren1954
2205	軒	xuān	Middle_Chinese		0139g'	xjon	Wikibooks2016a
2206	悍	hàn	Old_Chinese	0139	0139h'		Karlgren1954
2207	悍	hàn	Middle_Chinese		0139h'	hanH	Wikibooks2016a
2208	捍	hàn	Old_Chinese	0139	0139i'		Karlgren1954
2209	捍	hàn	Middle_Chinese		0139i'	hanH	Wikibooks2016a
2210	睅	hàn	Old_Chinese	0139	0139j'		Karlgren1954
2211	睅	hàn	Middle_Chinese		0139j'	hwaenX	Wikibooks2016a
2212	鼾	hān	Old_Chinese	0139	0139-		Karlgren1954
2213	鼾	hān	Middle_Chinese		0139-	xan	Wikibooks2016a
2214	倝	gàn	Old_Chinese	0140	0140a		Karlgren1954
2215	倝	gàn	Middle_Chinese		0140a	kanH	Wikibooks2016a
2216	乾	gān	Old_Chinese	0140	0140c		Karlgren1954
2217	乾	gān	Middle_Chinese		0140c	gjen	Wikibooks2016a
2218	乾	gān	Middle_Chinese		0140c	kan	Wikibooks2016a
2219	幹	gàn	Old_Chinese	0140	0140d		Karlgren1954
2220	幹	gàn	Middle_Chinese		0140d	kanH	Wikibooks2016a
2221	榦	gàn	Old_Chinese	0140	0140e		Karlgren1954
2222	榦	gàn	Middle_Chinese		0140e	kanH	Wikibooks2016a
2223	翰	hàn	Old_Chinese	0140	0140f		Karlgren1954
2224	翰	hàn	Middle_Chinese		0140f	hanH	Wikibooks2016a
2225	𩏑		Old_Chinese	0140	0140h		Karlgren1954
2226	𩏑		Middle_Chinese		0140h	han	Wikibooks2016a
2227	韓	hán	Old_Chinese	0140	0140i		Karlgren1954
2228	韓	hán	Middle_Chinese		0140i	han	Wikibooks2016a
2229	鶾	hàn	Old_Chinese	0140	0140j		Karlgren1954
2230	鶾	hàn	Middle_Chinese		0140j	han	Wikibooks2016a
2231	簳	gǎn	Old_Chinese	0140	0140k		Karlgren1954
2232	簳	gǎn	Middle_Chinese		0140k	kanX	Wikibooks2016a
2233	斡	wò	Old_Chinese	0140	0140l		Karlgren1954
2234	斡	wò	Middle_Chinese		0140l	'wat	Wikibooks2016a
2235	斡	wò	Middle_Chinese		0140l	kwanH	Wikibooks2016a
2236	斡	wò	Middle_Chinese		0140l	kwanX	Wikibooks2016a
2237	澣	huàn	Old_Chinese	0140	0140m		Karlgren1954
2238	澣	huàn	Middle_Chinese		0140m	hwanX	Wikibooks2016a
2239	漧	gān	Old_Chinese	0140	0140-		Karlgren1954
2240	漧	gān	Middle_Chinese		0140-	kan	Wikibooks2016a
2241	侃	kǎn	Old_Chinese	0141	0141a		Karlgren1954
2242	侃	kǎn	Middle_Chinese		0141a	khanH	Wikibooks2016a
2243	侃	kǎn	Middle_Chinese		0141a	khanX	Wikibooks2016a
2244	諐	qiān	Old_Chinese	0141	0141d		Karlgren1954
2245	諐	qiān	Middle_Chinese		0141d	khjen	Wikibooks2016a
2246	諐	qiān	Middle_Chinese		0141d	khjenH	Wikibooks2016a
2247	看	kàn	Old_Chinese	0142	0142a		Karlgren1954
2248	看	kàn	Middle_Chinese		0142a	khan	Wikibooks2016a
2249	看	kàn	Middle_Chinese		0142a	khanH	Wikibooks2016a
2250	寒	hán	Old_Chinese	0143	0143a		Karlgren1954
2251	寒	hán	Middle_Chinese		0143a	han	Wikibooks2016a
2252	搴	qiān	Old_Chinese	0143	0143d		Karlgren1954
2253	搴	qiān	Middle_Chinese		0143d	kjenX	Wikibooks2016a
2254	謇	jiǎn	Old_Chinese	0143	0143e		Karlgren1954
2255	謇	jiǎn	Middle_Chinese		0143e	kjenX	Wikibooks2016a
2256	蹇	jiǎn	Old_Chinese	0143	0143f		Karlgren1954
2257	蹇	jiǎn	Middle_Chinese		0143f	kjenX	Wikibooks2016a
2258	蹇	jiǎn	Middle_Chinese		0143f	kjonX	Wikibooks2016a
2259	褰	qiān	Old_Chinese	0143	0143g		Karlgren1954
2260	褰	qiān	Middle_Chinese		0143g	khjen	Wikibooks2016a
2261	騫	qiān	Old_Chinese	0143	0143h		Karlgren1954
2262	騫	qiān	Middle_Chinese		0143h	kjonX	Wikibooks2016a
2263	攓	qiān	Old_Chinese	0143	0143i		Karlgren1954
2264	攓	qiān	Middle_Chinese		0143i	kjenX	Wikibooks2016a
2265	攓	qiān	Middle_Chinese		0143i	kjonX	Wikibooks2016a
2266	暵	hàn	Old_Chinese	0144	0144a		Karlgren1954
2267	暵	hàn	Middle_Chinese		0144a	xanH	Wikibooks2016a
2268	暵	hàn	Middle_Chinese		0144a	xanX	Wikibooks2016a
2269	熯	hàn	Old_Chinese	0144	0144b		Karlgren1954
2270	熯	hàn	Middle_Chinese		0144b	nyenX	Wikibooks2016a
2271	熯	hàn	Middle_Chinese		0144b	xanX	Wikibooks2016a
2272	漢	hàn	Old_Chinese	0144	0144c		Karlgren1954
2273	漢	hàn	Middle_Chinese		0144c	xanH	Wikibooks2016a
2274	厂	chǎng	Old_Chinese	0145	0145a		Karlgren1954
2275	厂	chǎng	Middle_Chinese		0145a	xanH	Wikibooks2016a
2276	安	ān	Old_Chinese	0146	0146a		Karlgren1954
2277	安	ān	Middle_Chinese		0146a	'an	Wikibooks2016a
2278	按	àn	Old_Chinese	0146	0146d		Karlgren1954
2279	按	àn	Middle_Chinese		0146d	'anH	Wikibooks2016a
2280	案	àn	Old_Chinese	0146	0146e		Karlgren1954
2281	案	àn	Middle_Chinese		0146e	'anH	Wikibooks2016a
2282	晏	yàn	Old_Chinese	0146	0146f		Karlgren1954
2283	晏	yàn	Middle_Chinese		0146f	'aenH	Wikibooks2016a
2284	晏	yàn	Middle_Chinese		0146f	'anH	Wikibooks2016a
2285	晏	yàn	Middle_Chinese		0146f	'enH	Wikibooks2016a
2286	鴳	yàn	Old_Chinese	0146	0146g		Karlgren1954
2287	鴳	yàn	Middle_Chinese		0146g	'aenH	Wikibooks2016a
2288	頞	è	Old_Chinese	0146	0146h		Karlgren1954
2289	頞	è	Middle_Chinese		0146h	'at	Wikibooks2016a
2290	鷃	yàn	Old_Chinese	0146	0146i		Karlgren1954
2291	鷃	yàn	Middle_Chinese		0146i	'aenH	Wikibooks2016a
2292	單	dān	Old_Chinese	0147	0147a		Karlgren1954
2293	單	dān	Middle_Chinese		0147a	tan	Wikibooks2016a
2294	單	dān	Middle_Chinese		0147a	tanX	Wikibooks2016a
2295	僤	dàn	Old_Chinese	0147	0147e		Karlgren1954
2296	僤	dàn	Middle_Chinese		0147e	tanX	Wikibooks2016a
2297	匰	dān	Old_Chinese	0147	0147f		Karlgren1954
2298	匰	dān	Middle_Chinese		0147f	tan	Wikibooks2016a
2299	殫	dān	Old_Chinese	0147	0147g		Karlgren1954
2300	殫	dān	Middle_Chinese		0147g	tan	Wikibooks2016a
2301	簞	dān	Old_Chinese	0147	0147h		Karlgren1954
2302	簞	dān	Middle_Chinese		0147h	tan	Wikibooks2016a
2303	襌	dān	Old_Chinese	0147	0147i		Karlgren1954
2304	襌	dān	Middle_Chinese		0147i	tan	Wikibooks2016a
2305	鄲	dān	Old_Chinese	0147	0147j		Karlgren1954
2306	鄲	dān	Middle_Chinese		0147j	tan	Wikibooks2016a
2307	癉	dān	Old_Chinese	0147	0147l		Karlgren1954
2308	癉	dān	Middle_Chinese		0147l	tanX	Wikibooks2016a
2309	癉	dān	Middle_Chinese		0147l	taH	Wikibooks2016a
2310	嘽	chǎn	Old_Chinese	0147	0147m		Karlgren1954
2311	嘽	chǎn	Middle_Chinese		0147m	than	Wikibooks2016a
2312	嘽	chǎn	Middle_Chinese		0147m	tsyhenX	Wikibooks2016a
2313	彈	dàn	Old_Chinese	0147	0147n		Karlgren1954
2314	彈	dàn	Middle_Chinese		0147n	dan	Wikibooks2016a
2315	彈	dàn	Middle_Chinese		0147n	danH	Wikibooks2016a
2316	憚	dàn	Old_Chinese	0147	0147o		Karlgren1954
2317	憚	dàn	Middle_Chinese		0147o	danH	Wikibooks2016a
2318	㺗	chān	Old_Chinese	0147	0147p		Karlgren1954
2319	㺗	chān	Middle_Chinese		0147p	trhean	Wikibooks2016a
2320	戰	zhàn	Old_Chinese	0147	0147r		Karlgren1954
2321	戰	zhàn	Middle_Chinese		0147r	tsyenH	Wikibooks2016a
2322	樿	shàn	Old_Chinese	0147	0147s		Karlgren1954
2323	樿	shàn	Middle_Chinese		0147s	dzyenH	Wikibooks2016a
2324	樿	shàn	Middle_Chinese		0147s	tsyenX	Wikibooks2016a
2325	燀	chǎn	Old_Chinese	0147	0147t		Karlgren1954
2326	燀	chǎn	Middle_Chinese		0147t	tsyhenX	Wikibooks2016a
2327	燀	chǎn	Middle_Chinese		0147t	tsyenX	Wikibooks2016a
2328	幝	chǎn	Old_Chinese	0147	0147u		Karlgren1954
2329	幝	chǎn	Middle_Chinese		0147u	tsyhenX	Wikibooks2016a
2330	繟	chǎn	Old_Chinese	0147	0147v		Karlgren1954
2331	繟	chǎn	Middle_Chinese		0147v	tsyhenX	Wikibooks2016a
2332	闡	chǎn	Old_Chinese	0147	0147x		Karlgren1954
2333	闡	chǎn	Middle_Chinese		0147x	tsyhenX	Wikibooks2016a
2334	嬋	chán	Old_Chinese	0147	0147y		Karlgren1954
2335	嬋	chán	Middle_Chinese		0147y	dzyen	Wikibooks2016a
2336	蟬	chán	Old_Chinese	0147	0147z		Karlgren1954
2337	蟬	chán	Middle_Chinese		0147z	dzyen	Wikibooks2016a
2338	墠	shàn	Old_Chinese	0147	0147a'		Karlgren1954
2339	墠	shàn	Middle_Chinese		0147a'	dzyenX	Wikibooks2016a
2340	禪	chán	Old_Chinese	0147	0147b'		Karlgren1954
2341	禪	chán	Middle_Chinese		0147b'	dzyenH	Wikibooks2016a
2342	觶	zhì	Old_Chinese	0147	0147c'		Karlgren1954
2343	觶	zhì	Middle_Chinese		0147c'	tsye	Wikibooks2016a
2344	觶	zhì	Middle_Chinese		0147c'	tsyeH	Wikibooks2016a
2345	驒	tuó	Old_Chinese	0147	0147d'		Karlgren1954
2346	驒	tuó	Middle_Chinese		0147d'	da	Wikibooks2016a
2347	驒	tuó	Middle_Chinese		0147d'	dan	Wikibooks2016a
2348	驒	tuó	Middle_Chinese		0147d'	ten	Wikibooks2016a
2349	鼉	tuó	Old_Chinese	0147	0147e'		Karlgren1954
2350	鼉	tuó	Middle_Chinese		0147e'	da	Wikibooks2016a
2351	鼉	tuó	Middle_Chinese		0147e'	dan	Wikibooks2016a
2352	鱓	shàn	Old_Chinese	0147	0147h'		Karlgren1954
2353	鱓	shàn	Middle_Chinese		0147h'	da	Wikibooks2016a
2354	鱓	shàn	Middle_Chinese		0147h'	dan	Wikibooks2016a
2355	亶	dǎn	Old_Chinese	0148	0148a		Karlgren1954
2356	亶	dǎn	Middle_Chinese		0148a	tanX	Wikibooks2016a
2357	𤺺		Old_Chinese	0148	0148b		Karlgren1954
2358	𤺺		Middle_Chinese		0148b	tanX	Wikibooks2016a
2359	儃	chán	Old_Chinese	0148	0148c		Karlgren1954
2360	儃	chán	Middle_Chinese		0148c	dzyen	Wikibooks2016a
2361	儃	chán	Middle_Chinese		0148c	thanX	Wikibooks2016a
2362	壇	tán	Old_Chinese	0148	0148d		Karlgren1954
2363	壇	tán	Middle_Chinese		0148d	dan	Wikibooks2016a
2364	檀	tán	Old_Chinese	0148	0148e		Karlgren1954
2365	檀	tán	Middle_Chinese		0148e	dan	Wikibooks2016a
2366	澶	chán	Old_Chinese	0148	0148f		Karlgren1954
2367	澶	chán	Middle_Chinese		0148f	danH	Wikibooks2016a
2368	襢	tǎn	Old_Chinese	0148	0148g		Karlgren1954
2369	襢	tǎn	Middle_Chinese		0148g	danX	Wikibooks2016a
2370	襢	tǎn	Middle_Chinese		0148g	trjenH	Wikibooks2016a
2371	襢	tǎn	Middle_Chinese		0148g	trjenX	Wikibooks2016a
2372	皽	zhāo	Old_Chinese	0148	0148h		Karlgren1954
2373	皽	zhāo	Middle_Chinese		0148h	trjenX	Wikibooks2016a
2374	皽	zhāo	Middle_Chinese		0148h	tsyenX	Wikibooks2016a
2375	邅	zhān	Old_Chinese	0148	0148i		Karlgren1954
2376	邅	zhān	Middle_Chinese		0148i	drjenX	Wikibooks2016a
2377	邅	zhān	Middle_Chinese		0148i	trjenX	Wikibooks2016a
2378	鱣	zhān	Old_Chinese	0148	0148j		Karlgren1954
2379	鱣	zhān	Middle_Chinese		0148j	trjen	Wikibooks2016a
2380	旜	zhān	Old_Chinese	0148	0148k		Karlgren1954
2381	旜	zhān	Middle_Chinese		0148k	tsyen	Wikibooks2016a
2382	氈	zhān	Old_Chinese	0148	0148l		Karlgren1954
2383	氈	zhān	Middle_Chinese		0148l	tsyen	Wikibooks2016a
2384	饘	zhān	Old_Chinese	0148	0148m		Karlgren1954
2385	饘	zhān	Middle_Chinese		0148m	tsyen	Wikibooks2016a
2386	饘	zhān	Middle_Chinese		0148m	tsyenX	Wikibooks2016a
2387	鸇	zhān	Old_Chinese	0148	0148n		Karlgren1954
2388	鸇	zhān	Middle_Chinese		0148n	tsyen	Wikibooks2016a
2389	擅	shàn	Old_Chinese	0148	0148o		Karlgren1954
2390	擅	shàn	Middle_Chinese		0148o	dzyenH	Wikibooks2016a
2391	蟺	shàn	Old_Chinese	0148	0148p		Karlgren1954
2392	蟺	shàn	Middle_Chinese		0148p	dzyenX	Wikibooks2016a
2393	羶	shān	Old_Chinese	0148	0148q		Karlgren1954
2394	羶	shān	Middle_Chinese		0148q	syen	Wikibooks2016a
2395	膻	shān	Old_Chinese	0148	0148r		Karlgren1954
2396	膻	shān	Middle_Chinese		0148r	syen	Wikibooks2016a
2397	顫	chàn	Old_Chinese	0148	0148s		Karlgren1954
2398	顫	chàn	Middle_Chinese		0148s	syen	Wikibooks2016a
2399	羴	shān	Old_Chinese	0148	0148-		Karlgren1954
2400	羴	shān	Middle_Chinese		0148-	syen	Wikibooks2016a
2401	旦	dàn	Old_Chinese	0149	0149a		Karlgren1954
2402	旦	dàn	Middle_Chinese		0149a	tanH	Wikibooks2016a
2403	鴠	dàn	Old_Chinese	0149	0149c		Karlgren1954
2404	鴠	dàn	Middle_Chinese		0149c	tanH	Wikibooks2016a
2405	坦	tǎn	Old_Chinese	0149	0149d		Karlgren1954
2406	坦	tǎn	Middle_Chinese		0149d	thanX	Wikibooks2016a
2407	但	dàn	Old_Chinese	0149	0149e		Karlgren1954
2408	但	dàn	Middle_Chinese		0149e	danX	Wikibooks2016a
2409	袒	tǎn	Old_Chinese	0149	0149f		Karlgren1954
2410	袒	tǎn	Middle_Chinese		0149f	danX	Wikibooks2016a
2411	怛	dá	Old_Chinese	0149	0149g		Karlgren1954
2412	怛	dá	Middle_Chinese		0149g	tat	Wikibooks2016a
2413	担	dān	Old_Chinese	0149	0149-		Karlgren1954
2414	丹	dān	Old_Chinese	0150	0150a		Karlgren1954
2415	丹	dān	Middle_Chinese		0150a	tan	Wikibooks2016a
2416	旃	zhān	Old_Chinese	0150	0150c		Karlgren1954
2417	旃	zhān	Middle_Chinese		0150c	tsyen	Wikibooks2016a
2418	炭	tàn	Old_Chinese	0151	0151a		Karlgren1954
2419	炭	tàn	Middle_Chinese		0151a	thanH	Wikibooks2016a
2420	嘆	tàn	Old_Chinese	0152	0152a		Karlgren1954
2421	嘆	tàn	Middle_Chinese		0152a	than	Wikibooks2016a
2422	嘆	tàn	Middle_Chinese		0152a	thanH	Wikibooks2016a
2423	歎	tàn	Old_Chinese	0152	0152c		Karlgren1954
2424	歎	tàn	Middle_Chinese		0152c	than	Wikibooks2016a
2425	歎	tàn	Middle_Chinese		0152c	thanH	Wikibooks2016a
2426	難	nán	Old_Chinese	0152	0152d		Karlgren1954
2427	難	nán	Middle_Chinese		0152d	nan	Wikibooks2016a
2428	難	nán	Middle_Chinese		0152d	nanH	Wikibooks2016a
2429	𪄿		Old_Chinese	0152	0152g		Karlgren1954
2430	𪄿		Middle_Chinese		0152g	nan	Wikibooks2016a
2431	𪄿		Middle_Chinese		0152g	nanH	Wikibooks2016a
2432	戁	nǎn	Old_Chinese	0152	0152h		Karlgren1954
2433	戁	nǎn	Middle_Chinese		0152h	nraenX	Wikibooks2016a
2434	㸐	rán	Old_Chinese	0152	0152i		Karlgren1954
2435	㸐	rán	Middle_Chinese		0152i	nyen	Wikibooks2016a
2436	儺	nuó	Old_Chinese	0152	0152k		Karlgren1954
2437	儺	nuó	Middle_Chinese		0152k	na	Wikibooks2016a
2438	儺	nuó	Middle_Chinese		0152k	naX	Wikibooks2016a
2439	臡	ní	Old_Chinese	0152	0152l		Karlgren1954
2440	臡	ní	Middle_Chinese		0152l	na	Wikibooks2016a
2441	臡	ní	Middle_Chinese		0152l	nej	Wikibooks2016a
2442	灘	tān	Old_Chinese	0152	0152m		Karlgren1954
2443	灘	tān	Middle_Chinese		0152m	than	Wikibooks2016a
2444	攤	tān	Old_Chinese	0152	0152-		Karlgren1954
2445	攤	tān	Middle_Chinese		0152-	than	Wikibooks2016a
2446	贊	zàn	Old_Chinese	0153	0153a		Karlgren1954
2447	贊	zàn	Middle_Chinese		0153a	tsanH	Wikibooks2016a
2448	賛	zàn	Old_Chinese	0153	0153b		Karlgren1954
2449	賛	zàn	Middle_Chinese		0153b	tsanH	Wikibooks2016a
2450	讚	zàn	Old_Chinese	0153	0153c		Karlgren1954
2451	讚	zàn	Middle_Chinese		0153c	tsanH	Wikibooks2016a
2452	瓚	zàn	Old_Chinese	0153	0153d		Karlgren1954
2453	瓚	zàn	Middle_Chinese		0153d	dzanX	Wikibooks2016a
2454	瓉	zàn	Old_Chinese	0153	0153e		Karlgren1954
2455	瓉	zàn	Middle_Chinese		0153e	dzanX	Wikibooks2016a
2456	纘	zuǎn	Old_Chinese	0153	0153f		Karlgren1954
2457	纘	zuǎn	Middle_Chinese		0153f	tswanX	Wikibooks2016a
2458	酇	zàn	Old_Chinese	0153	0153g		Karlgren1954
2459	酇	zàn	Middle_Chinese		0153g	tswanX	Wikibooks2016a
2460	鑽	zuān	Old_Chinese	0153	0153h		Karlgren1954
2461	鑽	zuān	Middle_Chinese		0153h	tswan	Wikibooks2016a
2462	鑽	zuān	Middle_Chinese		0153h	tswanH	Wikibooks2016a
2463	欑	cuán	Old_Chinese	0153	0153j		Karlgren1954
2464	欑	cuán	Middle_Chinese		0153j	dzwan	Wikibooks2016a
2465	櫕	cuán	Old_Chinese	0153	0153k		Karlgren1954
2466	櫕	cuán	Middle_Chinese		0153k	dzwan	Wikibooks2016a
2467	攢	zǎn	Old_Chinese	0153	0153l		Karlgren1954
2468	攢	zǎn	Middle_Chinese		0153l	dzwanH	Wikibooks2016a
2469	𣦼		Old_Chinese	0154	0154a		Karlgren1954
2470	𣦼		Middle_Chinese		0154a	dzan	Wikibooks2016a
2471	粲	càn	Old_Chinese	0154	0154b		Karlgren1954
2472	粲	càn	Middle_Chinese		0154b	tshanH	Wikibooks2016a
2473	餐	cān	Old_Chinese	0154	0154c		Karlgren1954
2474	餐	cān	Middle_Chinese		0154c	tshan	Wikibooks2016a
2475	戔	jiān	Old_Chinese	0155	0155a		Karlgren1954
2476	戔	jiān	Middle_Chinese		0155a	dzan	Wikibooks2016a
2477	戔	jiān	Middle_Chinese		0155a	dzen	Wikibooks2016a
2478	殘	cán	Old_Chinese	0155	0155c		Karlgren1954
2479	殘	cán	Middle_Chinese		0155c	dzan	Wikibooks2016a
2480	棧	zhàn	Old_Chinese	0155	0155d		Karlgren1954
2481	棧	zhàn	Middle_Chinese		0155d	dzraenH	Wikibooks2016a
2482	棧	zhàn	Middle_Chinese		0155d	dzreanX	Wikibooks2016a
2483	棧	zhàn	Middle_Chinese		0155d	dzrjenX	Wikibooks2016a
2484	琖	zhǎn	Old_Chinese	0155	0155e		Karlgren1954
2485	琖	zhǎn	Middle_Chinese		0155e	tsreanX	Wikibooks2016a
2486	盞	zhǎn	Old_Chinese	0155	0155f		Karlgren1954
2487	盞	zhǎn	Middle_Chinese		0155f	tsreanX	Wikibooks2016a
2488	醆	zhǎn	Old_Chinese	0155	0155h		Karlgren1954
2489	醆	zhǎn	Middle_Chinese		0155h	tsrjenX	Wikibooks2016a
2490	剗	chǎn	Old_Chinese	0155	0155i		Karlgren1954
2491	剗	chǎn	Middle_Chinese		0155i	tsrheanX	Wikibooks2016a
2492	錢	qián	Old_Chinese	0155	0155j		Karlgren1954
2493	錢	qián	Middle_Chinese		0155j	dzjen	Wikibooks2016a
2494	錢	qián	Middle_Chinese		0155j	tsjenX	Wikibooks2016a
2495	淺	qiǎn	Old_Chinese	0155	0155k		Karlgren1954
2496	淺	qiǎn	Middle_Chinese		0155k	tsen	Wikibooks2016a
2497	淺	qiǎn	Middle_Chinese		0155k	tshjenX	Wikibooks2016a
2498	俴	jiàn	Old_Chinese	0155	0155l		Karlgren1954
2499	俴	jiàn	Middle_Chinese		0155l	dzjenX	Wikibooks2016a
2500	諓	jiàn	Old_Chinese	0155	0155m		Karlgren1954
2501	諓	jiàn	Middle_Chinese		0155m	dzjenH	Wikibooks2016a
2502	諓	jiàn	Middle_Chinese		0155m	dzjenX	Wikibooks2016a
2503	賤	jiàn	Old_Chinese	0155	0155n		Karlgren1954
2504	賤	jiàn	Middle_Chinese		0155n	dzjenH	Wikibooks2016a
2505	踐	jiàn	Old_Chinese	0155	0155o		Karlgren1954
2506	踐	jiàn	Middle_Chinese		0155o	dzjenX	Wikibooks2016a
2507	餞	jiàn	Old_Chinese	0155	0155p		Karlgren1954
2508	餞	jiàn	Middle_Chinese		0155p	dzjenH	Wikibooks2016a
2509	餞	jiàn	Middle_Chinese		0155p	dzjenX	Wikibooks2016a
2510	帴	sàn	Old_Chinese	0155	0155q		Karlgren1954
2511	帴	sàn	Middle_Chinese		0155q	dzjenX	Wikibooks2016a
2512	帴	sàn	Middle_Chinese		0155q	tsjen	Wikibooks2016a
2513	綫	xiàn	Old_Chinese	0155	0155r		Karlgren1954
2514	綫	xiàn	Middle_Chinese		0155r	sjenH	Wikibooks2016a
2515	濺	jiàn	Old_Chinese	0155	0155s		Karlgren1954
2516	濺	jiàn	Middle_Chinese		0155s	tsen	Wikibooks2016a
2517	濺	jiàn	Middle_Chinese		0155s	tsjenH	Wikibooks2016a
2518	散	sàn	Old_Chinese	0156	0156a		Karlgren1954
2519	散	sàn	Middle_Chinese		0156a	sanX	Wikibooks2016a
2520	散	sàn	Middle_Chinese		0156a	sanH	Wikibooks2016a
2521	潸	shān	Old_Chinese	0156	0156c		Karlgren1954
2522	潸	shān	Middle_Chinese		0156c	sraen	Wikibooks2016a
2523	潸	shān	Middle_Chinese		0156c	sraenX	Wikibooks2016a
2524	潸	shān	Middle_Chinese		0156c	srean	Wikibooks2016a
2525	霰	sǎn	Old_Chinese	0156	0156d		Karlgren1954
2526	霰	sǎn	Middle_Chinese		0156d	senH	Wikibooks2016a
2527	官	guān	Old_Chinese	0157	0157a		Karlgren1954
2528	官	guān	Middle_Chinese		0157a	kwan	Wikibooks2016a
2529	棺	guān	Old_Chinese	0157	0157e		Karlgren1954
2530	棺	guān	Middle_Chinese		0157e	kwan	Wikibooks2016a
2531	棺	guān	Middle_Chinese		0157e	kwanH	Wikibooks2016a
2532	涫	guàn	Old_Chinese	0157	0157f		Karlgren1954
2533	涫	guàn	Middle_Chinese		0157f	kwanH	Wikibooks2016a
2534	痯	guǎn	Old_Chinese	0157	0157g		Karlgren1954
2535	痯	guǎn	Middle_Chinese		0157g	kwanX	Wikibooks2016a
2536	管	guǎn	Old_Chinese	0157	0157h		Karlgren1954
2537	管	guǎn	Middle_Chinese		0157h	kwanX	Wikibooks2016a
2538	琯	guǎn	Old_Chinese	0157	0157i		Karlgren1954
2539	琯	guǎn	Middle_Chinese		0157i	kwanX	Wikibooks2016a
2540	錧	guǎn	Old_Chinese	0157	0157j		Karlgren1954
2541	錧	guǎn	Middle_Chinese		0157j	kwanH	Wikibooks2016a
2542	錧	guǎn	Middle_Chinese		0157j	kwanX	Wikibooks2016a
2543	館	guǎn	Old_Chinese	0157	0157k		Karlgren1954
2544	館	guǎn	Middle_Chinese		0157k	kwanH	Wikibooks2016a
2545	倌	guān	Old_Chinese	0157	0157l		Karlgren1954
2546	倌	guān	Middle_Chinese		0157l	kwaenH	Wikibooks2016a
2547	倌	guān	Middle_Chinese		0157l	kwan	Wikibooks2016a
2548	逭	huàn	Old_Chinese	0157	0157m		Karlgren1954
2549	逭	huàn	Middle_Chinese		0157m	hwanH	Wikibooks2016a
2550	菅	jiān	Old_Chinese	0157	0157n		Karlgren1954
2551	菅	jiān	Middle_Chinese		0157n	kaen	Wikibooks2016a
2552	婠	wān	Old_Chinese	0157	0157-		Karlgren1954
2553	婠	wān	Middle_Chinese		0157-	'weat	Wikibooks2016a
2554	雚	guàn	Old_Chinese	0158	0158a		Karlgren1954
2555	雚	guàn	Middle_Chinese		0158a	kwanH	Wikibooks2016a
2556	鸛	guàn	Old_Chinese	0158	0158e		Karlgren1954
2557	鸛	guàn	Middle_Chinese		0158e	kwanH	Wikibooks2016a
2558	灌	guàn	Old_Chinese	0158	0158f		Karlgren1954
2559	灌	guàn	Middle_Chinese		0158f	kwanH	Wikibooks2016a
2560	爟	guàn	Old_Chinese	0158	0158g		Karlgren1954
2561	爟	guàn	Middle_Chinese		0158g	kwanH	Wikibooks2016a
2562	瓘	guàn	Old_Chinese	0158	0158h		Karlgren1954
2563	瓘	guàn	Middle_Chinese		0158h	kwanH	Wikibooks2016a
2564	觀	guān	Old_Chinese	0158	0158i		Karlgren1954
2565	觀	guān	Middle_Chinese		0158i	kwan	Wikibooks2016a
2566	觀	guān	Middle_Chinese		0158i	kwanH	Wikibooks2016a
2567	歡	huān	Old_Chinese	0158	0158j		Karlgren1954
2568	歡	huān	Middle_Chinese		0158j	xwan	Wikibooks2016a
